Algorithm,Threads,Size,Time
quick,3,1,0.000032
quick,3,2,0.000024
quick,3,4,0.000058
quick,3,8,0.000047
quick,3,16,0.00005
quick,3,32,0.000051
quick,3,64,0.000054
quick,3,128,0.000059
quick,3,256,0.00006
quick,3,512,0.000058
quick,3,1024,0.000088
quick,3,2048,0.000107
quick,3,4096,0.000183
quick,3,8192,0.000387
quick,3,16384,0.000752
quick,3,32768,0.001764
quick,3,65536,0.003288
quick,3,131072,0.006783
quick,3,262144,0.011439
quick,3,524288,0.024578
quick,3,1048576,0.051498
quick,3,2097152,0.108943
quick,3,4194304,0.229966
quick,3,8388608,0.512242
quick,3,16777216,1.04559
quick,3,33554432,2.107552
quick,3,67108864,4.360926
quick,3,134217728,8.95275
quick,4,1,0.000033
quick,4,2,0.00003
quick,4,4,0.000071
quick,4,8,0.000069
quick,4,16,0.000072
quick,4,32,0.000069
quick,4,64,0.00007
quick,4,128,0.000073
quick,4,256,0.000078
quick,4,512,0.000086
quick,4,1024,0.000114
quick,4,2048,0.000152
quick,4,4096,0.000248
quick,4,8192,0.000445
quick,4,16384,0.000689
quick,4,32768,0.001617
quick,4,65536,0.00288
quick,4,131072,0.006025
quick,4,262144,0.012368
quick,4,524288,0.024662
quick,4,1048576,0.048704
quick,4,2097152,0.098047
quick,4,4194304,0.205643
quick,4,8388608,0.456628
quick,4,16777216,0.93081
quick,4,33554432,1.924273
quick,4,67108864,3.92956
quick,4,134217728,8.123229
quick,5,1,0.000046
quick,5,2,0.000033
quick,5,4,0.000029
quick,5,8,0.000139
quick,5,16,0.000119
quick,5,32,0.000127
quick,5,64,0.000133
quick,5,128,0.000125
quick,5,256,0.000127
quick,5,512,0.000168
quick,5,1024,0.000181
quick,5,2048,0.000273
quick,5,4096,0.00037
quick,5,8192,0.000618
quick,5,16384,0.000878
quick,5,32768,0.001463
quick,5,65536,0.002964
quick,5,131072,0.007025
quick,5,262144,0.013389
quick,5,524288,0.026094
quick,5,1048576,0.050952
quick,5,2097152,0.105248
quick,5,4194304,0.234255
quick,5,8388608,0.510852
quick,5,16777216,1.082259
quick,5,33554432,2.205221
quick,5,67108864,4.514274
quick,5,134217728,9.205655
quick,6,1,0.000042
quick,6,2,0.000024
quick,6,4,0.000029
quick,6,8,0.000133
quick,6,16,0.000124
quick,6,32,0.000113
quick,6,64,0.000145
quick,6,128,0.00012
quick,6,256,0.000117
quick,6,512,0.000144
quick,6,1024,0.00015
quick,6,2048,0.000184
quick,6,4096,0.000248
quick,6,8192,0.000428
quick,6,16384,0.000723
quick,6,32768,0.001506
quick,6,65536,0.003532
quick,6,131072,0.005711
quick,6,262144,0.0129
quick,6,524288,0.023177
quick,6,1048576,0.049425
quick,6,2097152,0.102425
quick,6,4194304,0.214005
quick,6,8388608,0.503421
quick,6,16777216,1.017728
quick,6,33554432,2.08285
quick,6,67108864,4.263228
quick,6,134217728,8.697953
quick,7,1,0.000042
quick,7,2,0.000025
quick,7,4,0.000028
quick,7,8,0.000143
quick,7,16,0.000148
quick,7,32,0.000147
quick,7,64,0.000153
quick,7,128,0.000152
quick,7,256,0.000153
quick,7,512,0.000173
quick,7,1024,0.000182
quick,7,2048,0.000216
quick,7,4096,0.000353
quick,7,8192,0.000516
quick,7,16384,0.000809
quick,7,32768,0.001364
quick,7,65536,0.003222
quick,7,131072,0.006575
quick,7,262144,0.011094
quick,7,524288,0.025136
quick,7,1048576,0.048738
quick,7,2097152,0.10178
quick,7,4194304,0.212211
quick,7,8388608,0.503505
quick,7,16777216,1.03459
quick,7,33554432,2.100626
quick,7,67108864,4.275327
quick,7,134217728,8.74637
quick,8,1,0.000034
quick,8,2,0.000023
quick,8,4,0.000045
quick,8,8,0.000164
quick,8,16,0.000174
quick,8,32,0.000162
quick,8,64,0.00016
quick,8,128,0.000171
quick,8,256,0.000153
quick,8,512,0.000222
quick,8,1024,0.000201
quick,8,2048,0.00024
quick,8,4096,0.000342
quick,8,8192,0.000517
quick,8,16384,0.000797
quick,8,32768,0.00177
quick,8,65536,0.003362
quick,8,131072,0.006153
quick,8,262144,0.011746
quick,8,524288,0.022598
quick,8,1048576,0.046599
quick,8,2097152,0.095335
quick,8,4194304,0.199811
quick,8,8388608,0.47784
quick,8,16777216,0.964909
quick,8,33554432,1.971878
quick,8,67108864,4.038742
quick,8,134217728,8.219133
quick,9,1,0.000028
quick,9,2,0.000025
quick,9,4,0.000026
quick,9,8,0.000028
quick,9,16,0.000181
quick,9,32,0.0002
quick,9,64,0.000177
quick,9,128,0.000208
quick,9,256,0.000176
quick,9,512,0.000214
quick,9,1024,0.000262
quick,9,2048,0.000277
quick,9,4096,0.000346
quick,9,8192,0.000546
quick,9,16384,0.000939
quick,9,32768,0.001647
quick,9,65536,0.003128
quick,9,131072,0.006687
quick,9,262144,0.013811
quick,9,524288,0.026473
quick,9,1048576,0.053566
quick,9,2097152,0.113697
quick,9,4194304,0.252398
quick,9,8388608,0.596189
quick,9,16777216,1.212008
quick,9,33554432,2.430135
quick,9,67108864,4.993876
quick,9,134217728,10.094655
quick,10,1,0.000044
quick,10,2,0.000026
quick,10,4,0.000028
quick,10,8,0.000028
quick,10,16,0.000195
quick,10,32,0.00021
quick,10,64,0.000224
quick,10,128,0.000217
quick,10,256,0.000205
quick,10,512,0.000247
quick,10,1024,0.000257
quick,10,2048,0.000298
quick,10,4096,0.000343
quick,10,8192,0.000559
quick,10,16384,0.000869
quick,10,32768,0.001521
quick,10,65536,0.003528
quick,10,131072,0.006458
quick,10,262144,0.012212
quick,10,524288,0.025965
quick,10,1048576,0.051073
quick,10,2097152,0.107011
quick,10,4194304,0.229435
quick,10,8388608,0.580582
quick,10,16777216,1.177014
quick,10,33554432,2.372334
quick,10,67108864,4.874977
quick,10,134217728,9.7776
quick,11,1,0.000031
quick,11,2,0.000026
quick,11,4,0.000023
quick,11,8,0.000027
quick,11,16,0.000231
quick,11,32,0.00024
quick,11,64,0.000244
quick,11,128,0.000222
quick,11,256,0.000202
quick,11,512,0.00024
quick,11,1024,0.000264
quick,11,2048,0.000331
quick,11,4096,0.000386
quick,11,8192,0.000604
quick,11,16384,0.000859
quick,11,32768,0.001801
quick,11,65536,0.003478
quick,11,131072,0.007029
quick,11,262144,0.013845
quick,11,524288,0.025664
quick,11,1048576,0.049831
quick,11,2097152,0.105033
quick,11,4194304,0.229743
quick,11,8388608,0.58259
quick,11,16777216,1.167854
quick,11,33554432,2.386061
quick,11,67108864,4.863508
quick,11,134217728,9.786149
quick,12,1,0.000043
quick,12,2,0.000024
quick,12,4,0.000028
quick,12,8,0.000027
quick,12,16,0.000248
quick,12,32,0.000257
quick,12,64,0.000284
quick,12,128,0.000241
quick,12,256,0.000291
quick,12,512,0.000256
quick,12,1024,0.00029
quick,12,2048,0.000288
quick,12,4096,0.000416
quick,12,8192,0.000563
quick,12,16384,0.000944
quick,12,32768,0.001841
quick,12,65536,0.003323
quick,12,131072,0.00632
quick,12,262144,0.01314
quick,12,524288,0.024835
quick,12,1048576,0.05021
quick,12,2097152,0.103879
quick,12,4194304,0.225719
quick,12,8388608,0.571454
quick,12,16777216,1.149952
quick,12,33554432,2.327459
quick,12,67108864,4.694795
quick,12,134217728,9.550764
quick,13,1,0.000031
quick,13,2,0.000022
quick,13,4,0.000023
quick,13,8,0.000028
quick,13,16,0.00028
quick,13,32,0.000261
quick,13,64,0.000264
quick,13,128,0.000256
quick,13,256,0.000278
quick,13,512,0.000275
quick,13,1024,0.000294
quick,13,2048,0.00034
quick,13,4096,0.00043
quick,13,8192,0.000607
quick,13,16384,0.000897
quick,13,32768,0.001889
quick,13,65536,0.004065
quick,13,131072,0.008199
quick,13,262144,0.017057
quick,13,524288,0.033137
quick,13,1048576,0.065503
quick,13,2097152,0.136072
quick,13,4194304,0.287664
quick,13,8388608,0.597764
quick,13,16777216,1.208404
quick,13,33554432,2.45153
quick,13,67108864,4.973315
quick,13,134217728,10.078569
quick,14,1,0.00003
quick,14,2,0.000032
quick,14,4,0.000029
quick,14,8,0.000032
quick,14,16,0.000308
quick,14,32,0.000315
quick,14,64,0.000295
quick,14,128,0.000287
quick,14,256,0.000294
quick,14,512,0.000289
quick,14,1024,0.000333
quick,14,2048,0.000363
quick,14,4096,0.000471
quick,14,8192,0.000633
quick,14,16384,0.00106
quick,14,32768,0.001918
quick,14,65536,0.00403
quick,14,131072,0.008002
quick,14,262144,0.016953
quick,14,524288,0.031864
quick,14,1048576,0.066016
quick,14,2097152,0.13247
quick,14,4194304,0.289516
quick,14,8388608,0.598673
quick,14,16777216,1.198211
quick,14,33554432,2.39106
quick,14,67108864,4.901962
quick,14,134217728,9.860183
quick,15,1,0.000021
quick,15,2,0.000019
quick,15,4,0.000019
quick,15,8,0.00002
quick,15,16,0.000309
quick,15,32,0.000301
quick,15,64,0.000293
quick,15,128,0.000294
quick,15,256,0.000306
quick,15,512,0.000321
quick,15,1024,0.000363
quick,15,2048,0.000366
quick,15,4096,0.000484
quick,15,8192,0.000639
quick,15,16384,0.000978
quick,15,32768,0.001899
quick,15,65536,0.004009
quick,15,131072,0.009208
quick,15,262144,0.016077
quick,15,524288,0.032712
quick,15,1048576,0.065623
quick,15,2097152,0.136654
quick,15,4194304,0.283178
quick,15,8388608,0.591806
quick,15,16777216,1.224707
quick,15,33554432,2.447789
quick,15,67108864,4.914003
quick,15,134217728,9.999369
quick,16,1,0.000022
quick,16,2,0.000018
quick,16,4,0.000019
quick,16,8,0.000018
quick,16,16,0.000343
quick,16,32,0.000318
quick,16,64,0.000305
quick,16,128,0.000317
quick,16,256,0.000363
quick,16,512,0.000341
quick,16,1024,0.000345
quick,16,2048,0.000378
quick,16,4096,0.000487
quick,16,8192,0.000662
quick,16,16384,0.000961
quick,16,32768,0.001836
quick,16,65536,0.004666
quick,16,131072,0.007784
quick,16,262144,0.015739
quick,16,524288,0.031278
quick,16,1048576,0.061385
quick,16,2097152,0.130918
quick,16,4194304,0.281213
quick,16,8388608,0.571929
quick,16,16777216,1.144626
quick,16,33554432,2.373376
quick,16,67108864,4.878803
quick,16,134217728,9.7184
quick,17,1,0.000024
quick,17,2,0.000019
quick,17,4,0.00002
quick,17,8,0.000021
quick,17,16,0.000022
quick,17,32,0.00039
quick,17,64,0.000327
quick,17,128,0.000381
quick,17,256,0.000344
quick,17,512,0.000337
quick,17,1024,0.000386
quick,17,2048,0.000419
quick,17,4096,0.000505
quick,17,8192,0.000735
quick,17,16384,0.001193
quick,17,32768,0.002172
quick,17,65536,0.004848
quick,17,131072,0.009294
quick,17,262144,0.020037
quick,17,524288,0.041999
quick,17,1048576,0.081042
quick,17,2097152,0.169602
quick,17,4194304,0.344866
quick,17,8388608,0.732548
quick,17,16777216,1.459087
quick,17,33554432,2.99972
quick,17,67108864,5.965834
quick,17,134217728,12.053528
quick,18,1,0.00002
quick,18,2,0.000018
quick,18,4,0.000019
quick,18,8,0.000019
quick,18,16,0.000022
quick,18,32,0.000327
quick,18,64,0.0004
quick,18,128,0.00037
quick,18,256,0.000358
quick,18,512,0.000454
quick,18,1024,0.000387
quick,18,2048,0.000426
quick,18,4096,0.000553
quick,18,8192,0.000724
quick,18,16384,0.001443
quick,18,32768,0.002137
quick,18,65536,0.005059
quick,18,131072,0.01023
quick,18,262144,0.020041
quick,18,524288,0.039233
quick,18,1048576,0.079883
quick,18,2097152,0.162734
quick,18,4194304,0.348929
quick,18,8388608,0.708226
quick,18,16777216,1.422442
quick,18,33554432,2.870049
quick,18,67108864,5.844272
quick,18,134217728,11.764123
quick,19,1,0.000025
quick,19,2,0.000022
quick,19,4,0.000027
quick,19,8,0.000024
quick,19,16,0.000025
quick,19,32,0.000397
quick,19,64,0.000426
quick,19,128,0.0004
quick,19,256,0.000408
quick,19,512,0.000404
quick,19,1024,0.000431
quick,19,2048,0.000483
quick,19,4096,0.000526
quick,19,8192,0.000749
quick,19,16384,0.001278
quick,19,32768,0.00223
quick,19,65536,0.004838
quick,19,131072,0.009888
quick,19,262144,0.019781
quick,19,524288,0.04085
quick,19,1048576,0.079432
quick,19,2097152,0.164055
quick,19,4194304,0.35393
quick,19,8388608,0.726327
quick,19,16777216,1.440902
quick,19,33554432,2.906962
quick,19,67108864,5.915873
quick,19,134217728,11.897457
quick,20,1,0.00002
quick,20,2,0.000017
quick,20,4,0.000021
quick,20,8,0.00002
quick,20,16,0.000024
quick,20,32,0.00038
quick,20,64,0.000441
quick,20,128,0.000382
quick,20,256,0.000374
quick,20,512,0.000408
quick,20,1024,0.000422
quick,20,2048,0.000464
quick,20,4096,0.000579
quick,20,8192,0.000745
quick,20,16384,0.001117
quick,20,32768,0.002149
quick,20,65536,0.004609
quick,20,131072,0.011039
quick,20,262144,0.019064
quick,20,524288,0.038521
quick,20,1048576,0.078604
quick,20,2097152,0.162779
quick,20,4194304,0.353192
quick,20,8388608,0.69914
quick,20,16777216,1.425028
quick,20,33554432,2.899319
quick,20,67108864,5.781026
quick,20,134217728,11.674934
quick,21,1,0.000022
quick,21,2,0.000018
quick,21,4,0.000021
quick,21,8,0.00002
quick,21,16,0.000019
quick,21,32,0.00047
quick,21,64,0.000421
quick,21,128,0.000475
quick,21,256,0.000539
quick,21,512,0.000416
quick,21,1024,0.000519
quick,21,2048,0.000481
quick,21,4096,0.000586
quick,21,8192,0.000969
quick,21,16384,0.001193
quick,21,32768,0.002254
quick,21,65536,0.00628
quick,21,131072,0.010167
quick,21,262144,0.020919
quick,21,524288,0.040973
quick,21,1048576,0.080893
quick,21,2097152,0.165615
quick,21,4194304,0.349942
quick,21,8388608,0.731088
quick,21,16777216,1.495989
quick,21,33554432,2.960794
quick,21,67108864,5.991865
quick,21,134217728,12.247732
quick,22,1,0.000021
quick,22,2,0.00002
quick,22,4,0.000021
quick,22,8,0.000021
quick,22,16,0.000022
quick,22,32,0.000491
quick,22,64,0.000483
quick,22,128,0.000476
quick,22,256,0.00048
quick,22,512,0.000441
quick,22,1024,0.000463
quick,22,2048,0.000493
quick,22,4096,0.000636
quick,22,8192,0.000795
quick,22,16384,0.001208
quick,22,32768,0.002206
quick,22,65536,0.004978
quick,22,131072,0.009822
quick,22,262144,0.021
quick,22,524288,0.040664
quick,22,1048576,0.081144
quick,22,2097152,0.167895
quick,22,4194304,0.35382
quick,22,8388608,0.736592
quick,22,16777216,1.444419
quick,22,33554432,2.905014
quick,22,67108864,5.952958
quick,22,134217728,11.908232
quick,23,1,0.000023
quick,23,2,0.000022
quick,23,4,0.000025
quick,23,8,0.000023
quick,23,16,0.000025
quick,23,32,0.00047
quick,23,64,0.00051
quick,23,128,0.00049
quick,23,256,0.000465
quick,23,512,0.000436
quick,23,1024,0.000515
quick,23,2048,0.000519
quick,23,4096,0.000669
quick,23,8192,0.000804
quick,23,16384,0.001231
quick,23,32768,0.002184
quick,23,65536,0.004763
quick,23,131072,0.009931
quick,23,262144,0.020321
quick,23,524288,0.041212
quick,23,1048576,0.086364
quick,23,2097152,0.165878
quick,23,4194304,0.356846
quick,23,8388608,0.733386
quick,23,16777216,1.501234
quick,23,33554432,2.98225
quick,23,67108864,6.010008
quick,23,134217728,12.096761
quick,24,1,0.000021
quick,24,2,0.000021
quick,24,4,0.000019
quick,24,8,0.000021
quick,24,16,0.000021
quick,24,32,0.00046
quick,24,64,0.000459
quick,24,128,0.000477
quick,24,256,0.000483
quick,24,512,0.000473
quick,24,1024,0.00054
quick,24,2048,0.000546
quick,24,4096,0.000635
quick,24,8192,0.000844
quick,24,16384,0.00123
quick,24,32768,0.002196
quick,24,65536,0.005162
quick,24,131072,0.009882
quick,24,262144,0.02001
quick,24,524288,0.038853
quick,24,1048576,0.080861
quick,24,2097152,0.16521
quick,24,4194304,0.352922
quick,24,8388608,0.71338
quick,24,16777216,1.451859
quick,24,33554432,2.903026
quick,24,67108864,5.949492
quick,24,134217728,11.858653
